Id,Class
0,5
1,5
2,5
3,2
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,6
16,6
17,6
18,8
19,8
20,1
21,1
22,1
23,1
24,3
25,3
26,3
27,7
28,7
29,7
30,9
31,9
32,9
33,7
34,7
35,2
36,2
37,2
38,2
39,7
40,7
41,7
42,2
43,2
44,2
45,1
46,6
47,1
48,4
49,4
50,4
51,3
52,3
53,3
54,7
55,7
56,7
57,2
58,2
59,2
60,0
61,0
62,0
63,6
64,6
65,6
66,7
67,7
68,7
69,3
70,3
71,3
72,7
73,7
74,7
75,7
76,7
77,7
78,5
79,5
80,5
81,8
82,8
83,8
84,6
85,6
86,6
87,1
88,1
89,1
90,8
91,8
92,8
93,3
94,3
95,3
96,2
97,2
98,2
99,7
100,7
101,7
102,3
103,3
104,3
105,2
106,2
107,2
108,3
109,8
110,3
111,1
112,1
113,1
114,6
115,6
116,6
117,4
118,4
119,4
120,4
121,4
122,4
123,1
124,1
125,1
126,0
127,0
128,0
129,8
130,8
131,8
132,2
133,2
134,2
135,5
136,5
137,5
138,1
139,1
140,1
141,3
142,3
143,3
144,8
145,8
146,8
147,9
148,9
149,9
150,5
151,5
152,5
153,4
154,6
155,7
156,2
157,2
158,2
159,8
160,9
161,8
162,1
163,1
164,1
165,2
166,2
167,7
168,1
169,1
170,1
171,7
172,7
173,7
174,3
175,3
176,3
177,2
178,2
179,2
180,0
181,0
182,0
183,3
184,3
185,3
186,8
187,8
188,8
189,3
190,3
191,3
192,8
193,8
194,9
195,1
196,1
197,1
198,7
199,7
200,7
201,2
202,2
203,2
204,2
205,2
206,2
207,9
208,9
209,9
210,3
211,3
212,3
213,1
214,1
215,1
216,3
217,3
218,3
219,7
220,7
221,7
222,2
223,2
224,2
225,3
226,3
227,3
228,9
229,9
230,9
231,7
232,7
233,7
234,3
235,3
236,3
237,3
238,0
239,0
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,1
253,1
254,1
255,7
256,7
257,7
258,5
259,5
260,5
261,7
262,7
263,7
264,2
265,2
266,2
267,9
268,9
269,9
270,0
271,0
272,0
273,2
274,2
275,2
276,7
277,7
278,7
279,0
280,0
281,0
282,2
283,2
284,4
285,6
286,6
287,6
288,3
289,3
290,3
291,3
292,3
293,3
294,9
295,9
296,9
297,3
298,3
299,3
300,7
301,7
302,7
303,6
304,6
305,6
306,1
307,1
308,1
309,0
310,0
311,0
312,3
313,3
314,3
315,0
316,0
317,0
318,7
319,7
320,7
321,7
322,7
323,7
324,9
325,9
326,9
327,4
328,4
329,4
330,1
331,1
332,1
333,9
334,9
335,9
336,4
337,4
338,4
339,1
340,1
341,1
342,7
343,7
344,7
345,2
346,2
347,2
348,2
349,2
350,2
351,1
352,1
353,1
354,5
355,5
356,5
357,0
358,0
359,0
360,1
361,4
362,4
363,2
364,2
365,2
366,1
367,1
368,1
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,8
379,9
380,9
381,3
382,3
383,3
384,1
385,1
386,1
387,6
388,6
389,6
390,9
391,9
392,9
393,9
394,9
395,9
396,7
397,7
398,7
399,2
400,2
401,2
402,4
403,4
404,4
405,2
406,2
407,2
408,2
409,2
410,2
411,0
412,0
413,0
414,2
415,2
416,2
417,2
418,7
419,7
420,4
421,4
422,4
423,2
424,2
425,2
426,9
427,9
428,9
429,4
430,4
431,4
432,0
433,0
434,0
435,0
436,0
437,0
438,5
439,5
440,5
441,9
442,9
443,9
444,2
445,2
446,2
447,9
448,8
449,8
450,1
451,1
452,1
453,7
454,7
455,7
456,1
457,1
458,1
459,5
460,5
461,5
462,3
463,3
464,3
465,3
466,3
467,3
468,4
469,4
470,3
471,9
472,8
473,1
474,7
475,7
476,7
477,8
478,8
479,8
480,6
481,6
482,6
483,9
484,9
485,9
486,2
487,2
488,2
489,7
490,7
491,7
492,6
493,6
494,6
495,3
496,3
497,3
498,9
499,9
500,9
501,9
502,9
503,9
504,9
505,9
506,9
507,3
508,3
509,3
510,7
511,7
512,7
513,2
514,2
515,2
516,2
517,2
518,2
519,3
520,3
521,3
522,1
523,1
524,1
525,0
526,0
527,0
528,9
529,9
530,9
531,1
532,1
533,1
534,2
535,2
536,2
537,0
538,0
539,0
540,8
541,8
542,8
543,1
544,1
545,1
546,4
547,4
548,4
549,7
550,7
551,7
552,3
553,3
554,3
555,7
556,7
557,7
558,9
559,9
560,8
561,2
562,2
563,2
564,1
