Id,Class
0,8
1,2
2,1
3,2
4,1
5,6
6,8
7,7
8,2
9,7
10,9
11,2
12,2
13,7
14,2
15,2
16,4
17,7
18,7
19,2
20,0
21,6
22,2
23,3
24,7
25,7
26,4
27,6
28,6
29,7
30,3
31,3
32,2
33,7
34,6
35,2
36,6
37,1
38,6
39,4
40,5
41,0
42,0
43,3
44,2
45,4
46,3
47,3
48,4
49,8
50,8
51,4
52,2
53,4
54,1
55,9
56,1
57,7
58,3
59,2
60,0
61,3
62,9
63,3
64,8
65,3
66,2
67,2
68,2
69,9
70,3
71,8
72,3
73,7
74,7
75,2
76,9
77,7
78,2
79,3
80,7
81,7
82,7
83,3
84,1
85,8
86,1
87,7
88,7
89,9
90,0
91,2
92,3
93,2
94,8
95,4
96,3
97,3
98,8
99,2
100,7
101,4
102,5
103,0
104,7
105,0
106,7
107,3
108,9
109,4
110,0
111,8
112,5
113,3
114,7
115,0
116,2
117,1
118,8
119,0
120,1
121,0
122,1
123,7
124,7
125,7
126,4
127,3
128,1
129,6
130,9
131,8
132,7
133,0
134,4
135,2
136,2
137,0
138,2
139,9
140,4
141,2
142,4
143,4
144,0
145,0
146,4
147,9
148,5
149,8
150,1
151,2
152,1
153,8
154,3
155,3
156,1
157,4
158,7
159,8
160,6
161,1
162,7
163,2
164,6
165,3
166,9
167,9
168,1
169,7
170,7
171,2
172,3
173,3
174,1
175,0
176,1
177,0
178,0
179,0
180,9
181,1
182,4
183,3
184,3
185,7
186,1
187,7
188,1
189,8
190,1
191,7
192,4
193,2
194,6
195,0
196,3
197,0
198,0
199,3
200,7
201,2
202,2
203,1
204,3
205,9
206,1
207,3
208,7
209,7
210,1
211,1
212,6
213,3
214,0
215,7
216,1
217,4
218,3
219,9
220,4
221,4
222,7
223,0
224,1
225,7
226,0
227,1
228,9
229,7
230,9
231,4
232,9
233,7
234,0
235,7
236,1
237,8
238,8
239,8
240,4
241,2
242,2
243,4
244,9
245,9
246,4
247,0
248,2
249,0
250,2
251,2
252,1
253,4
254,6
255,4
256,2
257,3
258,1
259,0
260,1
261,2
262,9
263,4
264,7
265,8
266,2
267,4
268,4
269,7
270,8
271,7
272,7
273,1
274,6
275,3
276,6
277,7
278,4
279,1
280,6
281,0
282,4
283,1
284,5
285,7
286,2
287,4
288,1
289,3
290,8
291,3
292,2
293,3
294,6
295,1
296,0
297,9
298,3
299,9
300,1
301,0
302,0
303,6
304,8
305,2
306,2
307,1
308,3
309,4
310,1
311,7
312,8
313,4
314,0
315,4
316,9
317,1
318,1
319,8
320,7
321,2
322,6
323,7
324,2
325,1
326,0
327,8
328,1
329,4
330,7
331,7
332,2
333,0
334,2
335,5
336,2
337,1
338,8
339,3
340,8
341,0
342,2
343,1
344,0
345,7
346,7
347,3
348,7
349,7
350,2
351,5
352,0
353,4
354,7
355,2
356,3
357,5
358,8
359,2
360,0
361,7
362,9
363,9
364,7
365,3
366,9
367,3
368,9
369,2
370,2
371,2
372,1
373,2
374,2
375,7
376,7
377,7
378,6
379,2
380,4
381,9
382,7
383,6
384,1
385,0
386,2
387,4
388,1
389,7
390,6
391,8
392,4
393,7
394,4
395,4
396,3
397,2
398,4
399,5
400,7
401,2
402,2
403,7
404,0
405,4
406,3
407,3
408,9
409,0
410,7
411,3
412,5
413,4
414,0
415,4
416,2
417,4
418,6
419,4
420,8
421,1
422,2
423,2
424,0
425,8
426,9
427,3
428,7
429,4
430,1
431,2
432,0
433,7
434,1
435,4
436,7
437,2
438,4
439,1
440,3
441,1
442,4
443,1
444,2
445,3
446,1
447,2
448,2
449,9
450,7
451,9
452,7
453,3
454,2
455,4
456,4
457,0
458,1
459,7
460,6
461,2
462,7
463,0
464,1
465,4
466,7
467,4
468,4
469,7
470,3
471,9
472,2
473,6
474,7
475,9
476,7
477,1
478,7
479,2
480,9
481,7
482,1
483,1
484,2
485,0
486,9
487,2
488,7
489,7
490,1
491,5
492,0
493,7
494,3
495,0
496,8
497,2
498,9
499,6
500,2
501,3
502,5
503,0
504,3
505,2
506,0
507,1
508,6
509,3
510,3
511,2
512,6
513,0
514,4
515,4
516,3
517,2
518,3
519,7
520,0
521,1
522,3
523,3
524,7
525,1
526,3
527,0
528,3
529,7
530,4
531,1
532,8
533,1
534,7
535,5
536,0
537,4
538,3
539,1
540,0
541,4
542,8
543,5
544,4
545,3
546,6
547,4
548,1
549,4
550,2
551,4
552,2
553,4
554,3
555,8
556,3
557,1
558,6
559,2
560,7
561,2
562,2
563,1
564,6
565,5
566,0
567,3
568,8
569,8
570,0
571,3
572,0
573,1
574,2
575,2
576,4
577,3
578,1
579,1
580,2
581,3
582,2
583,0
584,2
585,0
586,7
587,2
588,3
589,3
590,2
591,7
592,6
593,4
594,5
595,0
596,7
597,6
598,4
599,2
600,2
601,3
602,4
603,2
604,1
605,1
606,2
607,3
608,0
609,6
610,6
611,2
612,0
613,7
614,0
615,3
616,1
617,3
618,9
619,6
620,1
621,6
622,7
623,4
624,4
625,7
626,2
627,2
628,0
629,0
630,1
631,2
632,1
633,2
634,7
635,2
636,3
637,7
638,5
639,4
640,3
641,9
642,3
643,9
644,4
645,5
646,9
647,6
648,3
649,4
650,9
651,3
652,3
653,4
654,3
655,7
656,2
657,7
658,6
659,4
660,5
661,4
662,1
663,7
664,4
665,0
666,3
667,3
668,3
669,2
670,1
671,0
672,3
673,7
674,7
675,7
676,0
677,7
678,3
679,7
680,9
681,8
682,1
683,2
684,6
685,3
686,2
687,2
688,0
689,4
690,1
691,4
692,8
693,0
694,3
695,7
696,1
697,7
698,7
699,0
700,9
701,1
702,3
703,0
704,2
705,3
706,2
707,2
708,3
709,2
710,4
711,0
712,6
713,3
714,3
715,7
716,9
717,0
718,3
719,1
720,7
721,6
722,2
723,4
724,2
725,4
726,8
727,9
728,2
729,2
730,0
731,6
732,3
733,2
734,1
735,0
736,8
737,1
738,1
739,3
740,1
741,3
742,7
743,4
744,0
745,0
746,4
747,7
748,9
749,1
750,2
751,6
752,9
753,3
754,6
755,7
756,7
757,2
758,7
759,7
760,2
761,9
762,1
763,3
764,2
765,1
766,3
767,0
768,0
769,2
770,0
771,8
772,4
773,0
774,9
775,8
776,1
777,1
778,8
779,3
780,2
781,8
782,3
783,3
784,0
785,4
786,2
787,7
788,7
789,2
790,7
791,0
792,7
793,0
794,1
795,9
796,2
797,3
798,0
799,2
800,0
801,3
802,2
803,3
804,7
805,1
806,9
807,4
808,4
809,1
810,7
811,0
812,0
813,2
814,8
815,2
816,4
817,8
818,1
819,8
820,2
821,3
822,3
823,2
824,2
825,7
826,6
827,3
828,2
829,2
830,9
831,9
832,2
833,3
834,1
835,4
836,3
837,4
838,4
839,4
840,4
841,1
842,3
843,6
844,4
845,0
846,1
847,1
848,2
849,7
850,4
851,1
852,4
853,2
854,2
855,3
856,2
857,1
858,6
859,4
860,5
861,0
862,4
863,2
864,7
865,2
866,6
867,1
868,2
869,0
870,6
871,1
872,2
873,4
874,3
875,1
876,4
877,7
878,9
879,3
880,4
881,0
882,8
883,1
884,8
885,4
886,2
887,5
888,2
889,3
890,2
891,9
892,1
893,6
894,0
895,2
896,0
897,0
898,9
899,9
900,0
901,9
902,0
903,4
904,6
905,8
906,3
907,3
908,9
909,3
910,9
911,9
912,3
913,6
914,7
915,0
916,7
917,9
918,8
919,0
920,6
921,9
922,4
923,0
924,0
925,6
926,6
927,3
928,3
929,2
930,2
931,4
932,7
933,4
934,0
935,1
936,3
937,4
938,3
939,2
940,9
941,3
942,5
943,0
944,9
945,9
946,2
947,4
948,6
949,0
950,2
951,2
952,6
953,0
954,8
955,7
956,2
957,8
958,4
959,6
960,1
961,2
962,0
963,5
964,4
965,0
966,0
967,4
968,6
969,1
970,9
971,0
972,5
973,7
974,3
975,0
976,0
977,4
978,2
979,4
980,3
981,0
982,9
983,3
984,1
985,2
986,3
987,5
988,9
989,1
990,9
991,9
992,8
993,2
994,3
995,0
996,9
997,4
998,3
999,6
1000,2
1001,9
1002,2
1003,1
1004,2
1005,3
1006,4
1007,7
1008,3
1009,2
1010,4
1011,8
1012,3
1013,3
1014,3
1015,1
1016,7
1017,4
1018,7
1019,7
1020,9
1021,7
1022,3
1023,0
1024,1
1025,3
1026,9
1027,2
1028,3
1029,8
1030,1
1031,0
1032,1
1033,7
1034,7
1035,4
1036,1
1037,8
1038,7
1039,3
1040,3
1041,7
1042,6
1043,2
1044,0
1045,7
1046,2
1047,2
1048,2
1049,9
1050,0
1051,7
1052,1
1053,1
1054,4
1055,8
1056,4
1057,4
1058,6
1059,3
1060,0
1061,2
1062,7
1063,8
1064,9
1065,3
1066,7
1067,8
1068,8
1069,5
1070,3
1071,7
1072,0
1073,1
1074,3
1075,7
1076,9
1077,4
1078,7
1079,1
1080,7
1081,7
1082,7
1083,0
1084,4
1085,4
1086,3
1087,8
1088,3
1089,0
1090,2
1091,6
1092,4
1093,3
1094,6
1095,3
1096,0
1097,8
1098,7
1099,2
1100,2
1101,2
1102,1
1103,4
1104,3
1105,0
1106,2
1107,6
1108,8
1109,2
1110,2
1111,4
1112,9
1113,7
1114,8
1115,3
1116,3
1117,7
1118,7
1119,9
1120,1
1121,7
1122,7
1123,4
1124,2
1125,4
1126,0
1127,4
1128,6
1129,3
1130,8
1131,4
1132,0
1133,2
1134,3
1135,1
1136,7
1137,3
1138,7
1139,7
1140,6
1141,0
1142,7
1143,4
1144,2
1145,1
1146,1
1147,2
1148,7
1149,0
1150,0
1151,8
1152,2
1153,7
1154,8
1155,6
1156,4
1157,8
1158,2
1159,9
1160,3
1161,2
1162,2
1163,2
1164,6
1165,7
1166,7
1167,1
1168,4
1169,3
1170,3
1171,2
1172,4
1173,5
1174,4
1175,9
1176,1
1177,1
1178,2
1179,8
1180,2
1181,6
1182,2
1183,2
1184,3
1185,0
1186,2
1187,7
1188,0
1189,1
1190,7
1191,7
1192,7
1193,7
1194,8
1195,1
1196,4
1197,0
1198,0
1199,6
1200,2
1201,7
1202,0
1203,3
1204,3
1205,4
1206,4
1207,7
1208,0
1209,7
1210,8
1211,2
1212,2
1213,4
1214,2
1215,1
1216,8
1217,4
1218,1
1219,1
1220,1
1221,3
1222,3
1223,9
1224,2
1225,8
1226,0
1227,4
1228,1
1229,7
1230,4
1231,3
1232,8
1233,7
1234,6
1235,3
1236,7
1237,4
1238,2
1239,1
1240,3
1241,3
1242,0
1243,6
1244,9
1245,7
1246,2
